target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3	file
YqaJ	PF09588.10	148	BBDGLGOG_00014	-	226	8.3e-25	87.7	0.0	1	1	1.4999999999999998e-28	1.3e-24	87.0	0.0	2	146	24	166	23	168	0.84	LR134234_4557005-4557922.tsv
RecT	PF03837.14	199	BBDGLGOG_00015	-	261	2.6e-29	102.1	0.0	1	2	7.4e-19	1.3e-14	54.1	0.0	5	82	24	98	21	103	0.94	LR134234_4557005-4557922.tsv
Gam	PF06064.11	98	BBDGLGOG_00016	-	98	3e-63	210.1	5.2	1	1	1.8999999999999996e-67	3.299999999999999e-63	210.0	5.2	1	98	1	98	1	98	1.0	LR134234_4557005-4557922.tsv
FlaC_arch	PF05377.11	55	BBDGLGOG_00018	-	92	0.0064	16.9	0.5	1	1	7.699999999999999e-06	0.011	16.1	0.5	7	41	3	37	1	50	0.9	LR134234_4557005-4557922.tsv
Peptidase_S24	PF00717.23	70	BBDGLGOG_00020	-	230	4.7000000000000006e-12	45.7	0.1	1	1	3.4e-15	7.6e-12	45.0	0.1	2	65	139	201	138	206	0.9	LR134234_4557005-4557922.tsv
YdaS_antitoxin	PF15943.5	65	BBDGLGOG_00021	-	75	4.5e-22	77.7	0.0	1	1	4e-25	5.5e-22	77.4	0.0	1	61	6	65	6	68	0.96	LR134234_4557005-4557922.tsv
YdaT_toxin	PF06254.11	88	BBDGLGOG_00022	-	179	1.1e-39	134.8	0.1	1	1	2.9999999999999996e-43	1.8e-39	134.2	0.1	1	86	67	154	67	157	0.98	LR134234_4557005-4557922.tsv
Phage_rep_O	PF04492.13	95	BBDGLGOG_00023	-	334	1.1999999999999999e-32	112.4	0.0	1	1	1e-36	1.8999999999999998e-32	111.7	0.0	1	95	46	140	46	140	0.99	LR134234_4557005-4557922.tsv
Phage_lambda_P	PF06992.11	162	BBDGLGOG_00024	-	233	2.5999999999999996e-63	212.6	0.0	1	1	1.7999999999999993e-67	3.299999999999999e-63	212.3	0.0	2	162	39	198	38	198	0.99	LR134234_4557005-4557922.tsv
DUF977	PF06163.11	127	BBDGLGOG_00025	-	100	0.0025	17.7	0.7	1	1	7.8e-05	0.47	10.4	0.7	87	123	57	93	1	97	0.6	LR134234_4557005-4557922.tsv
Multi_Drug_Res	PF00893.19	93	BBDGLGOG_00026	-	110	2.7999999999999995e-34	117.7	4.9	1	1	8e-38	3.6e-34	117.3	4.9	3	93	4	94	2	94	0.99	LR134234_4557005-4557922.tsv
Resolvase	PF00239.21	146	BBDGLGOG_00027	-	508	8.599999999999999e-22	77.8	0.1	1	2	4.1e-25	2.4e-21	76.4	0.0	1	142	4	161	4	163	0.88	LR134234_4557005-4557922.tsv
P22_AR_C	PF10548.9	73	BBDGLGOG_00028	-	69	0.0016	18.6	0.1	1	2	1.6e-07	0.0028	17.8	0.1	29	72	5	48	1	49	0.91	LR134234_4557005-4557922.tsv
BstA	-	285	BBDGLGOG_00029	-	309	5.299999999999998e-106	353.8	0.0	1	1	3.3999999999999983e-110	6.099999999999997e-106	353.6	0.0	3	284	13	298	11	299	0.95	LR134234_4557005-4557922.tsv
NinB	PF05772.12	131	BBDGLGOG_00030	-	151	3.1e-05	23.8	0.0	1	1	2e-09	3.6e-05	23.6	0.0	32	129	35	133	14	135	0.87	LR134234_4557005-4557922.tsv
NinE	PF05322.11	58	BBDGLGOG_00031	-	56	4.1e-05	23.4	0.4	1	1	2.7e-09	4.9e-05	23.1	0.4	24	58	18	53	12	53	0.9	LR134234_4557005-4557922.tsv
DUF1364	PF07102.12	92	BBDGLGOG_00032	-	96	1.1e-42	143.8	0.8	1	1	1.2999999999999999e-46	1.1999999999999999e-42	143.7	0.8	2	91	3	92	2	93	0.98	LR134234_4557005-4557922.tsv
RusA	PF05866.11	124	BBDGLGOG_00033	-	120	3.2e-22	79.4	0.0	1	1	4.0999999999999993e-26	3.7000000000000005e-22	79.2	0.0	1	123	9	114	9	115	0.96	LR134234_4557005-4557922.tsv
Phage_antitermQ	PF06530.12	118	BBDGLGOG_00035	-	125	9.599999999999999e-51	170.6	0.2	1	1	1.1999999999999998e-54	1.1e-50	170.5	0.2	1	118	1	118	1	118	0.99	LR134234_4557005-4557922.tsv
Lipocalin_2	PF08212.12	146	BBDGLGOG_00036	-	174	4.5e-44	149.9	0.1	1	1	5.799999999999998e-48	5.200000000000001e-44	149.7	0.1	2	146	35	174	34	174	0.98	LR134234_4557005-4557922.tsv
DUF1722	PF08349.11	117	BBDGLGOG_00037	-	319	1e-40	138.7	2.2	1	2	0.73	4300.0	-2.0	0.0	58	83	64	89	57	95	0.75	LR134234_4557005-4557922.tsv
HTH_18	PF12833.7	81	BBDGLGOG_00038	-	243	1.2e-13	51.1	0.0	1	1	2.6e-17	2.3e-13	50.2	0.0	3	79	159	233	157	235	0.94	LR134234_4557005-4557922.tsv
Phage_holin_2_1	PF04971.12	64	BBDGLGOG_00039	-	71	1.7e-34	117.6	1.5	1	1	6.4e-38	1.8999999999999998e-34	117.4	1.5	1	63	5	67	5	68	0.98	LR134234_4557005-4557922.tsv
Phage_lysozyme	PF00959.19	109	BBDGLGOG_00040	-	165	6.6e-33	113.4	0.2	1	1	4.6e-37	8.199999999999999e-33	113.1	0.2	1	108	48	154	48	155	0.99	LR134234_4557005-4557922.tsv
Phage_lysis	PF03245.13	126	BBDGLGOG_00041	-	153	5.5e-50	168.7	12.8	1	1	1.0999999999999999e-53	6.3e-50	168.5	12.8	2	126	30	153	29	153	0.99	LR134234_4557005-4557922.tsv
Lambda_Bor	PF06291.11	75	BBDGLGOG_00042	-	97	9.9e-32	108.8	2.3	1	1	2e-35	1.2e-31	108.6	2.3	1	75	19	95	19	95	0.97	LR134234_4557005-4557922.tsv
DUF1398	PF07166.11	119	BBDGLGOG_00043	-	136	8.300000000000001e-44	148.5	3.6	1	1	1.0999999999999999e-47	9.4e-44	148.3	3.6	1	118	8	125	8	126	0.99	LR134234_4557005-4557922.tsv
XFP_C	PF09363.10	202	BBDGLGOG_00044	-	68	0.022	14.2	0.0	1	1	1.4e-06	0.024	14.1	0.0	28	56	23	51	13	64	0.83	LR134234_4557005-4557922.tsv
Phage_Nu1	PF07471.12	164	BBDGLGOG_00045	-	181	9.999999999999997e-90	298.6	1.7	1	1	2.499999999999999e-93	1.0999999999999995e-89	298.4	1.7	1	164	1	164	1	164	0.99	LR134234_4557005-4557922.tsv
Terminase_GpA	PF05876.12	558	BBDGLGOG_00046	-	641	3.599999999999998e-131	438.5	0.2	1	1	2.4999999999999983e-135	4.4999999999999977e-131	438.1	0.2	2	550	40	600	39	607	0.94	LR134234_4557005-4557922.tsv
gpW	PF02831.15	67	BBDGLGOG_00047	-	68	4.0999999999999995e-36	122.7	1.0	1	1	7.599999999999998e-40	4.4999999999999996e-36	122.6	1.0	1	67	1	67	1	67	0.99	LR134234_4557005-4557922.tsv
Phage_portal_2	PF05136.13	362	BBDGLGOG_00048	-	533	4.199999999999998e-95	319.0	1.5	1	1	1.1999999999999994e-98	5.199999999999998e-95	318.7	1.5	2	362	32	400	31	400	0.92	LR134234_4557005-4557922.tsv
Peptidase_S49	PF01343.18	154	BBDGLGOG_00049	-	439	3.3e-43	147.3	0.4	1	1	1e-46	6.1e-43	146.4	0.4	3	151	150	297	148	300	0.96	LR134234_4557005-4557922.tsv
HDPD	PF02924.14	116	BBDGLGOG_00050	-	110	2.5e-15	56.6	0.6	1	1	3.1e-19	2.8e-15	56.4	0.6	12	112	13	106	2	109	0.89	LR134234_4557005-4557922.tsv
Phage_cap_E	PF03864.15	333	BBDGLGOG_00051	-	341	2.4999999999999997e-69	234.0	0.5	1	1	1.6e-73	2.8e-69	233.8	0.5	1	332	4	338	4	339	0.96	LR134234_4557005-4557922.tsv
Packaging_FI	PF14000.6	131	BBDGLGOG_00052	-	131	4.5999999999999994e-51	172.7	4.6	1	1	8.700000000000001e-55	5.199999999999998e-51	172.5	4.6	1	131	2	128	2	128	0.98	LR134234_4557005-4557922.tsv
Phage_attach	PF05354.11	117	BBDGLGOG_00053	-	117	3.6999999999999975e-68	226.8	0.3	1	1	4.4999999999999977e-72	3.9999999999999994e-68	226.6	0.3	1	117	1	117	1	117	1.0	LR134234_4557005-4557922.tsv
Minor_tail_Z	PF06763.11	190	BBDGLGOG_00054	-	192	3.2999999999999986e-79	265.1	14.3	1	1	2.099999999999999e-83	3.6999999999999996e-79	264.9	14.3	1	190	3	192	3	192	1.0	LR134234_4557005-4557922.tsv
Phage_tail_U	PF06141.11	132	BBDGLGOG_00055	-	131	1e-48	165.1	0.0	1	1	6.3e-53	1.1e-48	164.9	0.0	1	132	1	129	1	129	0.99	LR134234_4557005-4557922.tsv
Phage_TTP_12	PF16461.5	134	BBDGLGOG_00056	-	246	4.999999999999998e-64	214.0	5.8	1	2	1.699999999999999e-67	5.999999999999998e-64	213.7	0.8	1	134	18	152	18	152	0.99	LR134234_4557005-4557922.tsv
Phage_TAC_2	PF06894.11	126	BBDGLGOG_00057	-	140	3.8e-59	198.0	0.9	1	1	2.3999999999999992e-63	4.4e-59	197.8	0.9	1	125	1	125	1	126	0.99	LR134234_4557005-4557922.tsv
Phage_tail_T	PF06223.12	100	BBDGLGOG_00058	-	144	2e-55	185.5	0.8	1	2	2.2999999999999997e-53	2.1e-49	166.2	0.2	1	99	11	110	11	111	0.99	LR134234_4557005-4557922.tsv
Gly_radical	PF01228.21	106	FJPBDHCK_00001	-	127	2.8999999999999997e-22	79.2	0.1	1	2	2.9e-26	5.3e-22	78.4	0.0	20	106	16	108	6	108	0.85	LR134237_1366652-1367500.tsv
LysE	PF01810.18	193	FJPBDHCK_00002	-	195	4.2999999999999993e-14	52.4	16.1	1	1	2.7999999999999997e-18	5e-14	52.2	16.1	2	190	15	194	14	195	0.8	LR134237_1366652-1367500.tsv
LysR_substrate	PF03466.20	209	FJPBDHCK_00003	-	293	1.1999999999999999e-41	142.4	0.1	1	1	1.8e-45	1.6e-41	142.0	0.1	3	206	87	288	85	290	0.97	LR134237_1366652-1367500.tsv
DEAD	PF00270.29	176	FJPBDHCK_00004	-	444	3.6e-47	160.4	0.0	1	2	5.7e-50	1.7e-46	158.2	0.0	1	174	28	197	28	199	0.95	LR134237_1366652-1367500.tsv
MTS	PF05175.14	169	FJPBDHCK_00005	-	245	3.2e-13	49.6	0.0	1	1	8.800000000000003e-16	6.6e-13	48.6	0.0	33	112	46	130	33	176	0.85	LR134237_1366652-1367500.tsv
FAD_binding_2	PF00890.24	417	FJPBDHCK_00006	-	540	2.899999999999998e-106	356.0	1.5	1	1	2.6999999999999996e-109	3.4999999999999985e-106	355.8	1.5	1	417	10	392	10	392	0.95	LR134237_1366652-1367500.tsv
Sigma70_r4_2	PF08281.12	54	FJPBDHCK_00007	-	191	1.8e-19	69.2	0.2	1	1	1.6e-22	4.7999999999999995e-19	67.8	0.2	2	53	129	180	122	181	0.95	LR134237_1366652-1367500.tsv
RseA_N	PF03872.13	87	FJPBDHCK_00008	-	216	8.399999999999997e-37	125.5	0.8	1	2	1.4e-40	8.399999999999997e-37	125.5	0.8	1	87	1	87	1	87	0.99	LR134237_1366652-1367500.tsv
MucB_RseB	PF03888.14	178	FJPBDHCK_00009	-	318	1.499999999999999e-61	207.1	0.0	1	1	3.199999999999999e-65	1.9e-61	206.7	0.0	3	172	28	197	26	210	0.95	LR134237_1366652-1367500.tsv
RseC_MucC	PF04246.12	130	FJPBDHCK_00010	-	159	3.2e-32	111.2	0.3	1	1	2e-36	3.6e-32	111.0	0.3	1	129	8	139	8	140	0.97	LR134237_1366652-1367500.tsv
GTP_EFTU	PF00009.27	194	FJPBDHCK_00011	-	599	3.7999999999999993e-53	179.9	0.7	1	2	3.6999999999999993e-56	6.6e-53	179.1	0.1	1	193	2	181	2	182	0.95	LR134237_1366652-1367500.tsv
Peptidase_S24	PF00717.23	70	FJPBDHCK_00012	-	324	7.1e-21	74.0	0.1	1	1	1.6e-24	1.4999999999999995e-20	72.9	0.1	1	63	86	159	86	169	0.93	LR134237_1366652-1367500.tsv
Ribonucleas_3_3	PF14622.6	128	FJPBDHCK_00013	-	226	7.699999999999998e-34	116.6	0.0	1	1	2.5e-37	1.1e-33	116.1	0.0	2	125	20	141	19	144	0.95	LR134237_1366652-1367500.tsv
MMR_HSR1	PF01926.23	114	FJPBDHCK_00014	-	301	7.299999999999998e-24	84.1	0.1	1	1	1.3999999999999998e-26	1.5e-23	83.1	0.1	2	114	11	125	10	125	0.83	LR134237_1366652-1367500.tsv
RecO_C	PF02565.15	157	FJPBDHCK_00015	-	242	1.1999999999999997e-23	83.7	0.1	1	1	3.9e-27	3.5e-23	82.1	0.1	4	157	83	226	80	226	0.81	LR134237_1366652-1367500.tsv
PdxJ	PF03740.13	234	FJPBDHCK_00016	-	243	2.099999999999999e-108	360.9	4.3	1	1	2.599999999999999e-112	2.2999999999999996e-108	360.7	4.3	2	234	6	238	5	238	0.99	LR134237_1366652-1367500.tsv
ACPS	PF01648.20	114	FJPBDHCK_00017	-	126	5e-24	84.6	0.0	1	1	9.4e-28	5.5999999999999996e-24	84.5	0.0	1	113	5	121	5	122	0.96	LR134237_1366652-1367500.tsv
Fer4_2	PF12797.7	22	FJPBDHCK_00018	-	61	0.00015	21.6	1.6	1	1	7e-08	0.00025	20.9	1.6	3	21	6	30	3	31	0.88	LR134237_1366652-1367500.tsv
Phage_integrase	PF00589.22	172	FJPBDHCK_00019	-	465	2.6e-06	27.3	0.0	1	2	0.51	9200.0	-3.7	0.0	74	88	170	184	154	194	0.76	LR134237_1366652-1367500.tsv
HTH_17	PF12728.7	51	FJPBDHCK_00020	-	66	2.1e-05	24.6	0.1	1	1	1.3e-08	4.5e-05	23.5	0.1	1	51	8	63	8	63	0.84	LR134237_1366652-1367500.tsv
SNF2_N	PF00176.23	350	FJPBDHCK_00021	-	464	1.7e-09	36.9	0.0	1	1	6.2e-13	2.8000000000000003e-09	36.2	0.0	64	303	30	267	18	293	0.75	LR134237_1366652-1367500.tsv
BstA	-	285	FJPBDHCK_00022	-	310	1.599999999999999e-105	352.2	0.0	1	1	9.999999999999999e-110	1.799999999999999e-105	352.0	0.0	3	283	14	298	12	300	0.95	LR134237_1366652-1367500.tsv
VRR_NUC	PF08774.11	108	FJPBDHCK_00023	-	93	1.1e-05	25.4	0.0	1	1	7.200000000000001e-10	1.3e-05	25.2	0.0	52	107	31	83	4	84	0.88	LR134237_1366652-1367500.tsv
PerC	PF06069.11	90	FJPBDHCK_00025	-	76	0.059	13.6	5.3	1	1	5.3e-06	0.095	13.0	5.3	5	56	16	72	12	75	0.74	LR134237_1366652-1367500.tsv
DNA_pol_A	PF00476.20	376	FJPBDHCK_00026	-	687	1.5e-13	50.6	0.0	1	2	6.8e-15	3e-11	43.0	0.0	71	220	276	457	210	462	0.76	LR134237_1366652-1367500.tsv
Nmad5	PF18757.1	206	FJPBDHCK_00028	-	212	4.699999999999999e-54	183.7	0.0	1	1	3.1e-58	5.599999999999998e-54	183.5	0.0	3	206	6	205	5	205	0.98	LR134237_1366652-1367500.tsv
DUF2815	PF10991.8	173	FJPBDHCK_00029	-	182	4.5e-48	163.5	0.0	1	1	2.7999999999999996e-52	5.099999999999999e-48	163.3	0.0	1	171	2	173	2	175	0.94	LR134237_1366652-1367500.tsv
DUF2800	PF10926.8	363	FJPBDHCK_00030	-	433	3.099999999999999e-121	405.1	0.0	1	1	3.8999999999999977e-125	3.4999999999999978e-121	404.9	0.0	1	363	5	410	5	410	0.94	LR134237_1366652-1367500.tsv
CRM1_repeat_2	PF18784.1	68	FJPBDHCK_00033	-	189	0.015	14.9	0.1	1	1	3.4e-06	0.03	13.9	0.1	28	64	73	110	43	113	0.81	LR134237_1366652-1367500.tsv
HTH_3	PF01381.22	55	FJPBDHCK_00034	-	209	3.8e-14	52.5	0.2	1	1	3.2e-17	5.700000000000001e-14	51.9	0.2	2	55	8	60	8	60	0.97	LR134237_1366652-1367500.tsv
HTH_3	PF01381.22	55	FJPBDHCK_00035	-	74	1.1e-13	51.0	0.1	1	1	6.2e-17	1.4e-13	50.7	0.1	1	55	10	63	10	63	0.98	LR134237_1366652-1367500.tsv
Prim-Pol	PF09250.11	158	FJPBDHCK_00036	-	754	8.2e-07	29.5	0.0	1	1	1.1e-10	1.9e-06	28.3	0.0	35	146	76	183	26	195	0.72	LR134237_1366652-1367500.tsv
Phage_antitermQ	PF06530.12	118	FJPBDHCK_00038	-	140	2.5e-29	101.6	0.0	1	1	3.4e-33	3.0999999999999997e-29	101.3	0.0	2	118	3	119	2	119	0.93	LR134237_1366652-1367500.tsv
Phage_holin_3_1	PF05106.12	99	FJPBDHCK_00039	-	113	4.2e-28	97.7	0.2	1	1	5.2e-32	4.7000000000000005e-28	97.5	0.2	2	99	5	107	4	107	0.97	LR134237_1366652-1367500.tsv
Phage_lysozyme	PF00959.19	109	FJPBDHCK_00040	-	158	6e-23	81.4	0.0	1	1	4.6999999999999996e-27	8.4e-23	80.9	0.0	1	106	33	138	33	140	0.98	LR134237_1366652-1367500.tsv
DUF2570	PF10828.8	108	FJPBDHCK_00041	-	130	4.2e-05	23.3	0.5	1	1	1.5e-08	5.2e-05	23.0	0.5	6	107	9	110	4	111	0.87	LR134237_1366652-1367500.tsv
Terminase_2	PF03592.16	140	FJPBDHCK_00044	-	183	7.3e-39	133.4	0.1	1	1	5.1000000000000005e-43	9.199999999999999e-39	133.1	0.1	1	138	3	154	3	156	0.95	LR134237_1366652-1367500.tsv
DUF1073	PF06381.11	357	FJPBDHCK_00046	-	488	5.9e-112	374.0	0.0	1	1	4.299999999999998e-116	7.799999999999996e-112	373.6	0.0	6	356	54	403	50	404	0.98	LR134237_1366652-1367500.tsv
Phage_Mu_F	PF04233.14	112	FJPBDHCK_00047	-	145	1.8000000000000002e-16	60.9	0.0	1	1	3.6000000000000003e-20	2.1e-16	60.6	0.0	2	109	25	131	24	134	0.88	LR134237_1366652-1367500.tsv
FixG_C	PF11614.8	119	GKILLGDK_00001	-	746	0.081	13.1	0.2	1	2	3.6e-05	0.65	10.2	0.0	57	116	301	359	294	362	0.86	CP017688.1_2969121-2969912.tsv
VRP1	PF03538.14	322	GKILLGDK_00004	-	149	0.019	14.4	0.3	1	1	2.4e-06	0.022	14.2	0.3	25	106	22	109	2	121	0.69	CP017688.1_2969121-2969912.tsv
Glyco_hydro_106	PF17132.4	740	GKILLGDK_00008	-	171	0.013	13.8	0.0	1	1	1e-06	0.018000000000000002	13.4	0.0	654	713	27	88	9	99	0.77	CP017688.1_2969121-2969912.tsv
Phage_cap_E	PF03864.15	333	GKILLGDK_00010	-	428	8.099999999999999e-16	58.1	0.2	1	1	1.2999999999999998e-19	1.1e-15	57.6	0.2	9	330	24	350	17	353	0.85	CP017688.1_2969121-2969912.tsv
DUF108	PF01958.18	89	GKILLGDK_00011	-	124	0.081	13.3	0.7	1	2	0.055	490.0	1.2	0.0	67	85	76	94	66	97	0.8	CP017688.1_2969121-2969912.tsv
TerB_C	PF15615.6	151	GKILLGDK_00012	-	235	0.0013	19.1	5.2	1	1	2.4e-07	0.0022	18.3	5.2	6	104	44	139	39	146	0.83	CP017688.1_2969121-2969912.tsv
Phage_prot_Gp6	PF05133.14	420	GKILLGDK_00013	-	470	3.9e-35	121.8	7.1	1	1	3.2e-39	5.7e-35	121.2	7.1	4	415	19	461	16	464	0.85	CP017688.1_2969121-2969912.tsv
Terminase_6	PF03237.15	215	GKILLGDK_00014	-	489	1.1e-06	28.5	0.2	1	1	2.1e-10	1.9e-06	27.7	0.2	3	183	68	227	67	252	0.8	CP017688.1_2969121-2969912.tsv
DUF5089	PF17002.5	193	GKILLGDK_00020	-	49	0.1	12.4	0.0	1	1	6.4e-06	0.12	12.3	0.0	58	88	5	35	2	39	0.92	CP017688.1_2969121-2969912.tsv
N6_N4_Mtase	PF01555.18	231	GKILLGDK_00021	-	494	1.3e-07	31.6	0.6	1	2	0.00013000000000000002	2.3	7.8	0.0	188	224	270	306	90	313	0.88	CP017688.1_2969121-2969912.tsv
BstA	-	285	GKILLGDK_00022	-	263	7.099999999999999e-34	117.1	0.4	1	1	1.6e-37	9.8e-34	116.6	0.4	144	272	118	242	103	252	0.89	CP017688.1_2969121-2969912.tsv
DUF4236	PF14020.6	55	GKILLGDK_00024	-	367	1.9000000000000006e-21	76.4	3.6	1	1	3.7e-25	3.3e-21	75.6	3.6	1	55	1	54	1	54	0.98	CP017688.1_2969121-2969912.tsv
HPP	PF04982.13	122	GKILLGDK_00025	-	203	7.899999999999998e-47	158.4	5.2	1	2	0.2	1200.0	-0.3	0.0	31	46	32	47	29	54	0.81	CP017688.1_2969121-2969912.tsv
Borrelia_P13	PF05628.12	138	GKILLGDK_00026	-	332	4.8	7.1	6.9	1	2	0.0031	55.0	3.7	5.6	62	97	134	169	83	172	0.63	CP017688.1_2969121-2969912.tsv
Peptidase_M78	PF06114.13	123	GKILLGDK_00027	-	350	6.9e-19	68.0	0.1	1	2	6.100000000000001e-22	2.7000000000000003e-18	66.1	0.0	6	122	158	269	153	270	0.89	CP017688.1_2969121-2969912.tsv
DUF3560	PF12083.8	124	GKILLGDK_00032	-	214	5.099999999999998e-34	117.1	7.0	1	2	2.7999999999999995e-38	5.099999999999998e-34	117.1	7.0	2	119	63	181	62	186	0.97	CP017688.1_2969121-2969912.tsv
ASCH	PF04266.14	107	GKILLGDK_00036	-	192	2.1e-10	41.2	0.0	1	1	1.9e-14	3.4e-10	40.5	0.0	1	91	4	121	4	135	0.84	CP017688.1_2969121-2969912.tsv
DUF22	PF01629.16	106	GKILLGDK_00037	-	147	0.11	12.1	0.1	1	1	1e-05	0.19	11.5	0.1	40	66	24	50	12	76	0.81	CP017688.1_2969121-2969912.tsv
SNF2_N	PF00176.23	350	GKILLGDK_00041	-	609	1.3999999999999999e-24	86.4	0.2	1	2	0.029	170.0	0.7	0.0	110	153	86	129	82	131	0.93	CP017688.1_2969121-2969912.tsv
PcfJ	PF14284.6	144	GKILLGDK_00042	-	452	2.7e-32	111.6	2.5	1	1	8.999999999999996e-36	5.4e-32	110.7	2.5	1	144	264	423	264	423	0.87	CP017688.1_2969121-2969912.tsv
PcfK	PF14058.6	130	GKILLGDK_00043	-	170	1.4000000000000002e-25	90.0	20.5	1	1	4.1e-27	1.1999999999999997e-23	83.8	20.5	1	107	2	143	2	170	0.77	CP017688.1_2969121-2969912.tsv
DNA_pol3_beta	PF00712.19	121	GKILLGDK_00044	-	388	5.100000000000001e-19	68.6	8.1	1	3	5.2999999999999995e-18	3.2e-14	53.1	0.2	2	118	31	144	30	147	0.93	CP017688.1_2969121-2969912.tsv
Integrase_DNA	PF02920.15	58	GKILLGDK_00045	-	51	0.07400000000000001	12.8	4.9	1	2	0.11	2000.0	-1.4	0.0	24	29	6	11	2	21	0.69	CP017688.1_2969121-2969912.tsv
Ribosomal_L38e	PF01781.18	69	GKILLGDK_00048	-	129	0.061	13.4	0.0	1	1	7.9e-06	0.14	12.3	0.0	3	28	14	39	13	84	0.82	CP017688.1_2969121-2969912.tsv
DUF3799	PF12684.7	234	GKILLGDK_00049	-	211	3.2e-09	36.9	2.6	1	1	2.3e-13	4.1e-09	36.6	2.6	25	205	27	199	12	208	0.79	CP017688.1_2969121-2969912.tsv
Casc1_N	PF15927.5	201	GKILLGDK_00051	-	142	6.7	6.3	12.7	1	2	9.8e-05	1.8	8.2	10.0	2	56	3	59	2	70	0.74	CP017688.1_2969121-2969912.tsv
DHDPS	PF00701.22	289	LONAANJC_00001	-	171	1.4e-27	96.2	0.0	1	1	8.699999999999999e-32	1.6e-27	96.0	0.0	131	286	1	155	1	158	0.98	CP019628_3690609-3691427.tsv
Pro_racemase	PF05544.11	325	LONAANJC_00002	-	333	1.999999999999999e-121	405.1	0.0	1	1	3.699999999999998e-125	2.199999999999999e-121	404.9	0.0	1	325	8	331	8	331	1.0	CP019628_3690609-3691427.tsv
Aldedh	PF00171.22	462	LONAANJC_00003	-	498	2.5e-40	138.4	0.0	1	1	2.3e-44	4.1e-40	137.7	0.0	5	456	17	487	13	492	0.8	CP019628_3690609-3691427.tsv
GntR	PF00392.21	64	LONAANJC_00004	-	232	4.4000000000000005e-16	58.3	1.0	1	1	5.199999999999999e-19	9.300000000000001e-16	57.2	1.0	4	61	20	76	17	78	0.93	CP019628_3690609-3691427.tsv
CarboxypepD_reg	PF13620.6	82	LONAANJC_00006	-	997	1.6e-17	63.5	0.6	1	2	7.3e-21	1.6e-17	63.5	0.6	2	81	41	120	40	121	0.98	CP019628_3690609-3691427.tsv
OCD_Mu_crystall	PF02423.15	318	LONAANJC_00008	-	314	1.4999999999999995e-52	178.5	0.0	1	1	6.3e-56	1.6e-52	178.4	0.0	37	315	33	313	1	314	0.91	CP019628_3690609-3691427.tsv
Aminotran_3	PF00202.21	406	LONAANJC_00010	-	432	1.8e-122	408.9	0.3	1	1	3.4e-126	1.9999999999999996e-122	408.8	0.3	10	406	28	427	20	427	0.96	CP019628_3690609-3691427.tsv
BATS	PF06968.13	86	LONAANJC_00011	-	346	7.499999999999998e-21	74.1	0.5	1	3	0.85	7600.0	-2.9	0.0	73	86	116	129	109	129	0.79	CP019628_3690609-3691427.tsv
Aminotran_1_2	PF00155.21	363	LONAANJC_00012	-	383	1.1e-52	179.5	2.4	1	1	2.799999999999999e-56	1.1999999999999997e-52	179.3	2.4	3	363	40	378	38	378	0.93	CP019628_3690609-3691427.tsv
Methyltransf_11	PF08241.12	96	LONAANJC_00013	-	287	3e-14	53.4	0.0	1	2	5.8	11000.0	-2.9	0.0	25	43	33	51	30	72	0.54	CP019628_3690609-3691427.tsv
AAA_26	PF13500.6	198	LONAANJC_00014	-	227	3.1e-34	118.6	0.0	1	1	6.1e-38	3.6999999999999995e-34	118.3	0.0	2	193	3	209	2	213	0.93	CP019628_3690609-3691427.tsv
DAO	PF01266.24	352	LONAANJC_00015	-	519	1.8e-09	37.7	0.1	1	1	4.4e-12	7.2e-09	35.7	0.1	2	300	31	406	30	425	0.67	CP019628_3690609-3691427.tsv
Peptidase_M48	PF01435.18	196	LONAANJC_00016	-	299	5.8e-40	137.2	0.2	1	1	4.1e-43	9.199999999999997e-40	136.5	0.2	3	194	90	299	88	299	0.89	CP019628_3690609-3691427.tsv
Glyoxalase	PF00903.25	128	LONAANJC_00017	-	175	2.2e-20	73.1	0.0	1	1	7.7e-24	2.7999999999999997e-20	72.8	0.0	4	128	22	162	19	162	0.93	CP019628_3690609-3691427.tsv
Acetyltransf_10	PF13673.7	127	LONAANJC_00018	-	146	5e-07	29.7	0.0	1	1	2.2e-10	7.8e-07	29.1	0.0	14	95	24	108	11	138	0.86	CP019628_3690609-3691427.tsv
DUF421	PF04239.12	108	LONAANJC_00019	-	167	1.9e-10	40.4	0.0	1	1	1.5e-14	2.7000000000000005e-10	40.0	0.0	2	69	94	161	93	165	0.94	CP019628_3690609-3691427.tsv
CSD	PF00313.22	66	LONAANJC_00020	-	104	5.3e-10	39.0	0.0	1	1	1.2e-13	7.099999999999999e-10	38.6	0.0	2	62	3	63	2	66	0.93	CP019628_3690609-3691427.tsv
BstA	-	285	LONAANJC_00021	-	299	9.999999999999997e-90	300.3	0.3	1	1	6.999999999999998e-94	1.1999999999999999e-89	300.1	0.3	1	272	3	277	3	285	0.94	CP019628_3690609-3691427.tsv
DDE_Tnp_IS66	PF03050.14	282	LONAANJC_00022	-	510	6.799999999999996e-102	340.7	0.7	1	2	0.75	1100.0	-1.2	0.4	158	222	23	59	6	93	0.51	CP019628_3690609-3691427.tsv
